"","lake_code","temperature_median","conductivity_median","oxygen_median","CHL_median","oxygen_sd","PAR_sd","surface_area_m2","distance_to_ocean_min_m","stratified"
"1","CLM",31.036,43.449,0.294,3.312047355756,0.738281789282927,254.19491086238,46994,250,"1"
"2","FLK",30.813,49.83,3.887,3.80921478544646,-0.918016867715544,576.028308766158,3605,113,"0"
"3","GLK",30.53,41.488,0.4165,3.69368041105498,0.62691491669274,110.870728779061,16638,100,"1"
"4","HLM",30.06,50.65,2.339,2.44999884488287,1.62376667720579,251.192833816913,73315,99,"1"
"5","NLK",32.631,45.791,2.357,2.1707665183732,0.763420823602923,337.721492752041,44647,189,"1"
"6","NLN",31.213,49.439,4.52111111111111,2.88584765064954,-0.499853850856201,235.313624625783,36812,51,"0"
"7","NLU",29.8385,50.0975,4.051,1.94035905592174,-0.794785231956849,36.31653376907,980,52,"0"
"8","OLO",30.87375,49.18,4.7125,3.93365402555444,-0.11612782187182,274.330057696118,12358,103,"0"
"9","OTM",30.733,45.65,0.517,3.05745433218199,0.727380628041608,124.092325619991,62043,104,"1"
"10","SLN",28.074,40,1.70857142857143,5.36241829195456,0.115319804606115,482.931951153001,4084,195,"1"
"11","TLN",31.3645,46.0985,1.5055,4.06182137051654,0.348124438909907,292.768016974257,7958,55,"1"
"12","ULN",29.9155555555556,50.2011111111111,4.82571428571429,4.13177796480129,-1.14194435070942,269.800380134265,30899,49,"0"
